experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 22.99392022705846, 22.99392022705846, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 23.764839143108727, 23.764839143108727, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 23.34577091553686, 23.34577091553686, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 22.912819002733816, 22.912819002733816, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 23.05701167773391, 23.05701167773391, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 23.54976443872461, 23.54976443872461, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 23.16667395349017, 23.16667395349017, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 23.09846233261825, 23.09846233261825, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 23.205928684927173, 23.205928684927173, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 23.099309256161206, 23.099309256161206, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 23.23397285291442, 23.23397285291442, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0012, 2024-02-26 10:30, , 12, 23.169179502081636, 23.169179502081636, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0013, 2024-03-01 14:30, , 13, 23.361423881496943, 23.361423881496943, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0014, 2024-03-10 14:30, , 14, 23.63870593227943, 23.63870593227943, 23.1904836473656, 23.891005839385194, 22.489961455346005, , , , extracted 2023-11-20, , , A-M1, i, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
