experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 1378.580317025369, 1484.6159747139923, 1511.124889136148, 1599.6283323880189, 1422.6214458842774, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 1583.9102749405674, 1504.4748347593074, 1511.124889136148, 1624.4645976526115, 1397.7851806196848, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 1289.7008284405856, 1461.520033495563, 1511.124889136148, 1637.8301722322335, 1384.4196060400627, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 1653.9633384698523, 1500.008694490421, 1511.124889136148, 1645.689245028379, 1376.5605332439172, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 1331.002626909431, 1466.207480974223, 1511.124889136148, 1650.4866544396893, 1371.7631238326069, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 1604.8726737331829, 1493.9405195260151, 1511.124889136148, 1653.4721704930096, 1368.7776077792867, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 1331.3812548851952, 1461.4286665978514, 1511.124889136148, 1655.3504711722017, 1366.8993071000946, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 1583.7574331555868, 1485.8944199093985, 1511.124889136148, 1656.5398516268274, 1365.7099266454688, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 1461.1484646679737, 1480.9452288611137, 1511.124889136148, 1657.2959762559447, 1364.9538020163516, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 1473.1908129346896, 1479.3943456758288, 1511.124889136148, 1657.777850107614, 1364.4719281646821, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 1688.316335005919, 1521.1787435418469, 1511.124889136148, 1658.0854201739885, 1364.1643580983077, , , , extracted 2023-11-20, , , B-M1, ewma, T-NOS | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
