experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC1_HIST_0001, 2024-01-08 15:30, , 1, 1550.2807381024545, 1513.473482855175, 1504.271669043355, 1583.4296383597764, 1425.1136997269334, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0002, 2024-01-13 15:30, , 2, 1337.42515414033, 1478.2638171122062, 1504.271669043355, 1605.6433314265437, 1402.9000066601661, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0003, 2024-01-16 12:30, , 3, 1501.2217743654646, 1482.855408562858, 1504.271669043355, 1617.5975752796232, 1390.9457628070866, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0004, 2024-01-23 13:30, , 4, 1315.120776341004, 1449.308482118487, 1504.271669043355, 1624.6267734711826, 1383.9165646155272, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0005, 2024-01-27 14:30, , 5, 1625.222775819523, 1484.4913408586942, 1504.271669043355, 1628.9176029917708, 1379.625735094939, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0006, 2024-01-28 13:30, , 6, 1451.4065985352308, 1477.8743923940015, 1504.271669043355, 1631.5878650681268, 1376.955473018583, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0007, 2024-01-31 10:30, , 7, 1455.7390274269121, 1473.4473194005836, 1504.271669043355, 1633.2678275878602, 1375.2755104988496, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0008, 2024-02-02 11:30, , 8, 1284.3576237781322, 1435.6293802760936, 1504.271669043355, 1634.3316160470831, 1374.2117220396267, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0009, 2024-02-12 11:30, , 9, 1531.7688314319355, 1454.857270507262, 1504.271669043355, 1635.0078980988526, 1373.5354399878572, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0010, 2024-02-13 10:30, , 10, 1350.2965053228886, 1433.9451174703875, 1504.271669043355, 1635.438888737898, 1373.1044493488118, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC1_HIST_0011, 2024-02-22 12:30, , 11, 1812.9451585358877, 1509.7451256834877, 1504.271669043355, 1635.7139811069871, 1372.8293569797227, , , , extracted 2023-11-20, , , B-M1, ewma, HMG | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
