experiment, date, instrument, operator, firmware, software, block_cycles, run_minutes, edit_delay, bg_median.x1-m1, bg_median.x2-m2, plateau_median.x1-m1, plateau_median.x2-m2, heat_rate, cool_rate, transition.95→60 °C, transition.60→95 °C, led_current, led_junction, zone_spread, cover_temp, heatsink_max, exposure.x5-m5, exposure.x3-m3, exposure.x2-m3, exposure.x3-m4, exposure.x4-m4, exposure.x2-m2, exposure.x1-m2, exposure.x1-m1, wheel_ms, wheel_slow.bad, wheel_slow.n, encoder.emission, encoder.excitation, cam_overhead.mean, cam_overhead.sd, cam_overhead.n, cover_down, cover_up, cmd_rt, tick_late, catch_up.count, catch_up.exposure, img_proc, runtime_err, log_errors.count, cycle_sd, handoff_min, saturation.bad, saturation.n, calib_background, calib_roi, calib_uniformity, ct_mismatch.bad, ct_mismatch.n, action_rate.bad, action_rate.n, late_rate.bad, late_rate.n, call_disagree.bad, call_disagree.n, low_conf.bad, low_conf.n, rep_sd, rowcol, rox_level, rox_cv, manual_rate.bad, manual_rate.n, copied.count, findings.count
DEMO_QSA_HIST_0001, 2024-03-08 10:30, QS · QS-DEMO-A, operator-96fc0cae, 7, QuantStudio 3 and 5 Software 1.6.1, 31567, 90.31650661303479, 3.183398069135256, 0.9938956903742681, 0.9942528479453926, 5.242095215463502, 2.3300782902177843, 2.8310681362209995, 2.8022278518999464, 11.837695894336477, 12.065289840377671, 0.5470250257469615, 75.4065601609183, 0.3600373320163111, 104.46377326261245, 40.96010492298806, 664.8069587226341, 300.26412841290016, 302.15682959797294, 398.81467503742454, 400.79060171042096, 303.1936646835752, 300.0171601241923, 449.64929728284557, 299.81987337786916, 2, 320, 0, 0, 470.12637947836026, 36.00734553505607, 636.1222746411979, 9.711149787551323, 5.160356632632477, 19.438078775505055, 34.30395336374098, 273.39768200964227, 0.5602668992671767, 7639.695064336495, 8.522424362065397, 0, 145.49839373071714, 9994.91176687564, 15, 7680, 2603.060827612511, 35.36383550288488, 1.1282745351539794, 0, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.10018038853362617, 0.10609691100396189, 173710.49697966705, 6.66776258377579, 0, 70, 0, 0
DEMO_QSA_HIST_0002, 2024-03-10 15:30, QS · QS-DEMO-A, operator-81023fd5, 7, QuantStudio 3 and 5 Software 1.6.1, 31618, 90.9111718560019, 3.5159430361983115, 1.0028247802717487, 1.0086942381269353, 5.470421956604224, 2.3785117327070364, 2.8453480949659666, 2.871277224134234, 12.125597146535588, 12.157273546659964, 0.5471862936173484, 76.43150962800075, 0.40834432589871394, 105.05815457519009, 41.251946926441654, 657.9373384914118, 300.3190786413105, 295.50463542677375, 406.6030235639038, 400.44231386148743, 300.6421613065285, 299.1150214785157, 447.43017483545293, 301.718868794262, 0, 320, 0, 0, 463.25139930320574, 37.71794128764482, 635.8964290500539, 9.637962427154491, 5.364444714079598, 21.98256870839797, 33.778563552306, 268.48201494007174, 0.5475987230115126, 7613.335368068594, 8.558885399806535, 0, 145.17714232750563, 9927.02828815586, 9, 7680, 2542.589748803043, 35.87194182949824, 1.1603010726864431, 0, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.10164183182003615, 0.11448068907151632, 176854.37166113764, 6.727205993685159, 0, 70, 0, 1
DEMO_QSA_HIST_0003, 2024-03-20 10:30, QS · QS-DEMO-A, operator-538c64e4, 7, QuantStudio 3 and 5 Software 1.6.1, 31846, 88.73208971654905, 3.598156623404857, 1.010904902069916, 0.9978528640208197, 5.384283203831596, 2.391800005436733, 2.799678038453829, 2.804533417611037, 12.162512565961269, 12.468222239558665, 0.5462494123272091, 75.95729459853675, 0.3834561118705432, 105.43412955334578, 41.8573157095631, 657.9230173195041, 299.5910983728143, 299.6936826080604, 404.3745279312184, 399.2723199093777, 294.4119503487705, 302.15037493265726, 446.09227631806317, 300.46147074499095, 2, 320, 0, 0, 465.92652640895034, 33.98444143717514, 642.9684241749806, 9.705014740205517, 5.2373632232819585, 21.25745502131348, 34.24649752136464, 271.9337216777387, 0.5496197764597867, 7691.971828669339, 8.653544543223385, 0, 146.4417113379643, 10304.280251529872, 19, 7680, 2601.4109310573576, 35.583855905676, 1.1348622858157038, 0, 66, 0, 10, 0, 10, 1, 66, 0, 66, 0.12226323782739851, 0.13680122309489284, 173313.3134963571, 6.806677694591949, 0, 70, 0, 0
DEMO_QSA_HIST_0004, 2024-03-24 14:30, QS · QS-DEMO-A, operator-538c64e4, 7, QuantStudio 3 and 5 Software 1.6.1, 31943, 90.49855069082527, 3.380761581486884, 1.0054170501762383, 1.0027148747142325, 5.29064116875562, 2.349259990090992, 2.7968134482379394, 2.849457307597996, 12.193936385942756, 12.291554956376697, 0.5415144723847656, 75.41078215974336, 0.41009001702929554, 106.09198141487185, 41.64322266890648, 658.2660230837301, 296.94858352263793, 300.66109055056165, 395.7917017685822, 404.2901013440202, 298.3912788429813, 301.1926614669201, 449.4277198502765, 301.0433050213562, 4, 320, 0, 0, 475.5952189188027, 36.683663895545806, 634.3719209152241, 9.645163597461101, 5.344125224173282, 20.596293769866506, 33.22419259875098, 270.1758676248495, 0.5496647501584395, 7845.838704252181, 8.543455052028591, 0, 147.2378449764733, 10066.391219682493, 14, 7680, 2614.77288732577, 35.772009980367145, 1.1432096224557682, 0, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.11713727627085824, 0.08014879834044925, 178281.5540585141, 6.741766555778352, 0, 70, 0, 2
DEMO_QSA_HIST_0005, 2024-04-08 12:30, QS · QS-DEMO-A, operator-81023fd5, 7, QuantStudio 3 and 5 Software 1.6.1, 32289, 91.12909737814425, 3.1848798182204683, 1.0162076083714893, 1.00699917472205, 5.312038557050444, 2.3643245877212147, 2.8103711316558067, 2.837498652440817, 12.206163515780826, 12.036160780988181, 0.5473576168169234, 76.55321050304548, 0.37887240594729904, 105.06027106095313, 41.570757197338516, 659.0493611984642, 295.2642972338212, 300.46512822882266, 394.99137230046466, 400.67950802929005, 301.48103903828184, 295.54391145783757, 446.790739265643, 302.80260196761304, 1, 320, 0, 0, 469.46430072279236, 36.25096973832027, 627.0112550006991, 9.63175670959212, 5.28832837118351, 21.424349878542667, 34.03209171710272, 273.92411741013007, 0.5486406183916522, 7518.654509321638, 8.437973786748083, 1, 145.70752489889531, 10060.095082534786, 18, 7680, 2604.403651709944, 35.136610253873485, 1.137968153697734, 0, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.09863551255105406, 0.10587486598336847, 175996.31019717065, 6.694602018758012, 0, 70, 0, 0
DEMO_QSA_HIST_0006, 2024-04-09 15:30, QS · QS-DEMO-A, operator-81023fd5, 7, QuantStudio 3 and 5 Software 1.6.1, 32316, 89.79368593436547, 3.481349679160736, 1.0181535214489874, 1.0056844878015305, 5.458510401167363, 2.395022880108596, 2.806621958901103, 2.8547676432861624, 12.101176562030117, 12.32888409543735, 0.5481636294546613, 76.41515886259916, 0.3653149366496131, 103.29660867931095, 41.8086720645431, 664.1272452227249, 301.9058554023898, 298.6971244038534, 401.3003049930153, 397.0585156208431, 296.8910434884456, 299.91180005812873, 450.6999918599955, 297.1496472626605, 3, 320, 0, 0, 462.9841920678583, 37.68701302005152, 642.3551543375783, 9.61466674870214, 5.304441771217055, 21.11552275336775, 33.801602949114745, 271.4220952030727, 0.549484679525081, 7652.435677744505, 8.529291968563733, 1, 147.88405640202663, 10065.753976051376, 15, 7680, 2634.8590733783913, 35.464914363100704, 1.1342914687904424, 0, 66, 0, 10, 0, 10, 1, 66, 0, 66, 0.09984036279169049, 0.11666400167630396, 172043.25843291738, 6.7407433740025935, 0, 70, 1, 3
DEMO_QSA_HIST_0007, 2024-05-13 13:30, QS · QS-DEMO-A, operator-96fc0cae, 7, QuantStudio 3 and 5 Software 1.6.1, 33105, 91.10267845520056, 3.474688685585711, 1.008822816903979, 0.9824167484119477, 5.31946442303444, 2.403084273307051, 2.878275598165587, 2.8249254853158265, 11.883444079567612, 12.381545590318526, 0.551579538716678, 77.08374100856246, 0.38648334528679884, 104.97602002848755, 42.30326231092066, 658.5725010062216, 299.92026069105884, 293.18122178188815, 397.922023829305, 395.17720365300295, 298.036893728834, 296.0573897947583, 446.7650278923127, 302.7359264291038, 1, 320, 0, 0, 472.9862330099368, 36.77330146462926, 645.253014815721, 9.635377962284357, 5.347408855270147, 20.508560676423365, 34.004043359238295, 274.16682506282996, 0.5513926902289541, 7720.20932547266, 8.622347397798572, 0, 146.9030760926123, 10027.635063543803, 16, 7680, 2591.5343061837434, 35.10968248320998, 1.1669683420112713, 1, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.1379954250018211, 0.0773582864661855, 176980.8442536515, 6.785219671875778, 0, 70, 0, 1
DEMO_QSA_HIST_0008, 2024-05-16 14:30, QS · QS-DEMO-A, operator-96fc0cae, 7, QuantStudio 3 and 5 Software 1.6.1, 33176, 92.79794878298247, 2.9396954488301277, 0.9967661149085408, 0.9888694062420262, 5.321719883495303, 2.3610346924294805, 2.8052289156048107, 2.8388514217708223, 11.91529348596727, 12.140077997923255, 0.5520423926089336, 77.31899707340322, 0.3714003036961817, 104.40635783679954, 42.509213571726974, 660.631762087081, 300.0587596605487, 299.9303024689427, 400.48748440922895, 401.4775759825205, 296.5145733389384, 299.3377147196083, 450.43695217181164, 296.3644505909894, 0, 320, 0, 0, 466.2111420791567, 35.66052203449124, 650.166876655212, 9.705811801747199, 5.414148889012598, 17.998977844887058, 33.434380703279565, 267.51175146424464, 0.552092807478013, 7499.668142653395, 8.524019362095737, 0, 146.40710790684912, 9971.446484965742, 17, 7680, 2571.6391347924387, 36.166292296578874, 1.1618889927841345, 0, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.13031659491092307, 0.08512902294993153, 174408.78007686458, 6.810359878951559, 0, 70, 1, 1
DEMO_QSA_HIST_0009, 2024-05-22 11:30, QS · QS-DEMO-A, operator-81023fd5, 7, QuantStudio 3 and 5 Software 1.6.1, 33312, 89.01791759079786, 2.662338095116544, 1.0153151413181396, 0.9923356915470726, 5.373361786704954, 2.4169652919937272, 2.838204662267182, 2.879547992411032, 12.003562457692219, 12.10450483375173, 0.5517784645557553, 77.08985008391073, 0.4153703469715435, 105.32185589837458, 40.72633442842106, 657.6042552402737, 302.0787786446799, 297.6727261319233, 403.73277301188983, 400.07255612432135, 300.38896331658754, 297.0239153505897, 454.7301205753747, 299.29472285873885, 4, 320, 0, 0, 468.407341786579, 35.795221464573984, 647.2219161913738, 9.69337839177803, 5.186630838855959, 19.973207887477542, 34.29135382159614, 272.5720012831913, 0.5490103877817109, 7583.817401717343, 8.511024855155021, 0, 147.35220555774362, 10019.288407287435, 11, 7680, 2593.411619049836, 35.86799970282579, 1.1385238877505224, 1, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.08827420306622025, 0.1061555105069043, 178073.79630585702, 6.779462996651061, 0, 70, 1, 0
DEMO_QSA_HIST_0010, 2024-06-17 16:30, QS · QS-DEMO-A, operator-96fc0cae, 7, QuantStudio 3 and 5 Software 1.6.1, 33922, 90.59768546768089, 3.545919135749117, 0.9966896031934518, 1.0086957942760988, 5.231535016210829, 2.400794197721406, 2.7892309139633524, 2.8792567371180646, 12.128152346810513, 12.090467065847703, 0.5527951615068666, 78.24487137544396, 0.36898911787051547, 105.09718133064194, 41.803940823383854, 650.5891967889111, 297.04081152801996, 302.0261707985585, 397.48455146867684, 398.94668895330085, 298.85298576192554, 298.49507958874625, 453.2451525231109, 297.95415904802167, 0, 320, 0, 0, 465.18491144876623, 35.98448757607171, 646.622423178452, 9.78046913534718, 5.317430414394438, 18.01816476019077, 34.142662142215094, 271.8390995972662, 0.5571381155849428, 7435.020573539303, 8.398090601702926, 0, 147.1747293922514, 9933.231436273703, 16, 7680, 2613.218457988052, 35.65560503701929, 1.1237320790198009, 0, 66, 0, 10, 0, 10, 0, 66, 0, 66, 0.12193551772602523, 0.09925917613386265, 176481.82966941193, 6.764101809141488, 0, 70, 1, 0
