experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_LC2_HIST_0001, 2025-01-14 11:30, , 1, 32.53752249778804, 32.53752249778804, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0002, 2025-01-22 14:30, , 2, 32.937504869464746, 32.937504869464746, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0003, 2025-01-24 14:30, , 3, 32.829998120500164, 32.829998120500164, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0004, 2025-02-10 12:30, , 4, 33.21518767875914, 33.21518767875914, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0005, 2025-02-12 13:30, , 5, 33.085112003835405, 33.085112003835405, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0006, 2025-02-14 10:30, , 6, 33.06188876145191, 33.06188876145191, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0007, 2025-03-10 10:30, , 7, 32.7804992399622, 32.7804992399622, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0008, 2025-03-16 12:30, , 8, 33.015740364912, 33.015740364912, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0009, 2025-04-17 15:30, , 9, 33.265975557009035, 33.265975557009035, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0010, 2025-05-02 14:30, , 10, 33.47702383245852, 33.47702383245852, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0011, 2025-05-11 15:30, , 11, 32.88174059855619, 32.88174059855619, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0012, 2025-05-14 13:30, , 12, 33.01307324544846, 33.01307324544846, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0013, 2025-06-13 13:30, , 13, 33.54208434502856, 33.54208434502856, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0014, 2025-06-15 11:30, , 14, 33.053888551833225, 33.053888551833225, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0015, 2025-06-16 15:30, , 15, 32.836777968921034, 32.836777968921034, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0016, 2025-06-24 17:30, , 16, 32.285553872750455, 32.285553872750455, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0017, 2025-06-26 12:30, , 17, 32.926239975200744, 32.926239975200744, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0018, 2025-07-28 14:30, , 18, 32.20279472595747, 32.20279472595747, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0020, 2025-08-14 14:30, , 19, 32.792741752778795, 32.792741752778795, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0019, 2025-08-14 16:30, , 20, 32.679544140566165, 32.679544140566165, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0021, 2025-08-16 15:30, , 21, 32.875480711399604, 32.875480711399604, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0022, 2025-08-18 14:30, , 22, 33.281322910003226, 33.281322910003226, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0023, 2025-08-26 11:30, , 23, 32.97099985394851, 32.97099985394851, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0024, 2025-08-27 17:30, , 24, 33.7661222920958, 33.7661222920958, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0025, 2025-08-27 17:30, , 25, 32.524516067954615, 32.524516067954615, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0026, 2025-08-29 16:30, , 26, 32.99288893046232, 32.99288893046232, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0028, 2025-09-06 12:30, , 27, 33.07387968291347, 33.07387968291347, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0027, 2025-09-06 16:30, , 28, 33.12227285115755, 33.12227285115755, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0029, 2025-09-26 13:30, , 29, 33.280677359527665, 33.280677359527665, 32.92104460515911, 33.84536223583854, 31.996726974479678, , , , extracted 2023-11-20, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0030, 2025-10-17 14:30, , 30, 33.182907151914854, 33.182907151914854, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0031, 2025-11-10 14:30, , 31, 32.981856461367435, 32.981856461367435, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0032, 2025-11-16 11:30, , 32, 32.57990236408768, 32.57990236408768, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0033, 2025-11-18 15:30, , 33, 32.810731750755565, 32.810731750755565, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0034, 2025-11-20 10:30, , 34, 32.759132246269495, 32.759132246269495, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0035, 2025-11-21 13:30, , 35, 32.919974983194614, 32.919974983194614, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0036, 2025-11-22 16:30, , 36, 33.16976008381677, 33.16976008381677, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0037, 2025-11-23 16:30, , 37, 33.32734721433104, 33.32734721433104, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0038, 2025-12-06 15:30, , 38, 33.07979761543678, 33.07979761543678, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0039, 2025-12-16 10:30, , 39, 33.181543059266495, 33.181543059266495, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0040, 2025-12-20 11:30, , 40, 33.14334575875977, 33.14334575875977, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0041, 2025-12-22 13:30, , 41, 32.731145440611044, 32.731145440611044, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0042, 2026-01-04 11:30, , 42, 32.981596206675164, 32.981596206675164, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0043, 2026-01-05 12:30, , 43, 32.61438527017161, 32.61438527017161, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0044, 2026-01-06 15:30, , 44, 33.50683251530132, 33.50683251530132, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0045, 2026-01-13 11:30, , 45, 32.67161582852325, 32.67161582852325, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_LC2_HIST_0046, 2026-01-16 12:30, , 46, 33.04671754613202, 33.04671754613202, 32.98066288981798, 33.97435807219979, 31.986967707436165, , , , extracted 2025-09-29, , , A-M1, i, 35S | DEMO-CRM, 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
